Portco,Current KPIs,Proposed KPIs,Rationale,
Standards KPIs,Revenue,Revenue,Keep,
,Gross Margin,Gross Margin,Keep,
,EBITDA / Net Income,EBITDA / Net Income,Keep,
,Runway,Runway,Keep,
,Primary growth metric,Burn Multiple (Net burn / Net new ARR),"Links growth directly to capital efficiency, enabling cross-portfolio comparability regardless of scale.",
,NA,Net Dollar Retention (NDR),"Better captures quality of growth by incorporating churn, contraction, and expansion rather than absolute revenue growth.",
,NA,L3M CMGR,Smooths short-term volatility and provides a clearer signal of underlying growth momentum than single-quarter growth.,
Simetrik,Invoiced Clients,Invoiced Clients ,Keep,
,Invoiced MRR,Rule of 40,Combines growth and profitability into a single efficiency metric more relevant at Simetrik’s scale than raw MRR.,Growth Rate ( % ) + Profit Margin ( % ) ≥ 40 %
,Runway,SaaS Magic Number,"Directly measures sales efficiency and payback, which is more actionable than runway alone for a scaling SaaS.",How much ARR is generated for every dollar spent on S&M
Guros,Active Policies,Active Policies,Keep,
,New Policies,Gross Written Premium,"Better reflects economic scale and monetization than policy count, which ignores ticket size.",
,Runway,Policy Renewal Rate,"Captures customer lifetime value and product stickiness, which new policy volume does not.",
Quinio,Acquired Brands,Acquired Brands,Keep,
,Acquired Sellers,Cash Conversion Cycle,"More relevant for a roll-up model as it captures working capital intensity and liquidity risk, not just scale.",
,Revenue Run-rate,Revenue Run-rate,Keep,
Hackmetrix,SaaS Clients,SaaS Clients,Keep,
,SaaS MRR,SaaS MRR,Keep,
,Runway,Rule of 40,Shifts focus from survival to sustainable growth efficiency as the company scales.,
Hunty,Active Clients,Rule of 40,Better reflects balance between growth and operating leverage than client count alone.,
,Active MRR,Active MRR,Keep,
,Average Order Value (AOV),Average Order Value (AOV),Keep,
Atani,New Signups,NA,Inactive,
,Monthly Active Users (MAU),NA,Inactive,
,Trading Volume,NA,Inactive,
Cluvi,Number of Restaurants,Number of Restaurants,Keep,
,Number of Users,ARPU per Restaurant,"Better monetization signal than user count, which does not correlate with revenue.",
,MRR,"Menu Engagement (views, scans?)","Directly measures product usage and value delivered, which drives retention and upsell potential.",
Kuona,Total Clients,Total Clients,Keep,
,Annual Customer Value,Annual Customer Value,Keep,
,Net Dollar Retention,Churn,"Already showing NDR in standardized metrics, churn helps remove pixelation from upsells",
Prometeo,Total Clients,Total Clients,Keep,
,MRR,MRR per client,Better reflects monetization depth and usage intensity than aggregate MRR.,
,Runway,API Calls or Total Payment Volume,"Captures real platform usage and engagement, not just commercial contracts.",
Morgana,Approved mortgages,NA,Inactive,
,Users with invoice (accum),NA,Inactive,
,,NA,Inactive,
Territorium,Clients,Clients,Keep,
,Exams Serviced,Revenue per client,Shifts focus from activity volume to economic value generated per customer.,
,Runway,% Recurring (vs Non-recurring Rev),Improves visibility on revenue durability and predictability versus project-based income.,
M1,Deals Made,Deals Made in Q,Keep,
,Active Brokers,Active Brokers,Keep,
,,Non-Insurance Revenue,,
,Properties Under Management,Properties Under Management,Keep,
Duppla,Units Paying Rent,Units Paying Rent,Keep,
,Portfolio Value (EOP),Portfolio Value (EOP),Keep,
,Runway,Net Yield on Portfolio,Already ask for Runway. Yield on portfolio better reflects asset quality and cash generation than portfolio size alone.,
Kala,Number of Applications,Origination,Focuses on executed volume rather than funnel top-of-funnel noise.,
,Approved Applications,Back book vs Front book,"Separates legacy or third party portfolio servicing revenue from new underwriting quality, improving revenue visibility.",
,Disbursed Loans,Disbursed Loans,Keep,
Pulsar,Clients,Clients,Keep,
,MRR ($000),Net Upsells (or Downsells),Highlights expansion dynamics and customer value evolution beyond headline MRR.,
,NDR,New Logos ARR,"Already ask for NDR. New logo arr separates new growth from expansion, improving go-to-market signal clarity.",
Solvento,Loan Portfolio at EOP ($M),Loan Portfolio at EOP ($M),Keep,
,Lending Clients,Default Rate,Better captures portfolio risk and capital preservation than client count.,
,SaaS Clients,% Non-lending Revenue,"Shows the progress better toward a more scalable, higher-multiple SaaS-led business model.(new product Terminal)",
Numia,Clients,Clients,Keep,
,MRR ($000),Avg. Ticket,Better reflects pricing power and customer sophistication than aggregate MRR.,
,NA,Churn or MRR Booked,Early PMF signal,
R2,Loan Portfolio at EOP ($M),NA,Exited,
,Partners,NA,Exited,
,Active Clients,NA,Exited,
